transactionid,trade_time,total_price,house_id,agent_id
2.02E+11,20160911,260,600445,11986
2.02E+11,20160917,334.4,700446,11986
2.02E+11,20160917,275,800447,11986
2.02E+11,20160917,258,800448,11986
2.02E+11,20160919,398,400449,11986
2.02E+11,20160928,230,500450,11986
2.02E+11,20160929,550,200451,11148
2.02E+11,20161012,335,400452,11148
2.02E+11,20161029,240,300453,10886
2.02E+11,20161101,725,100454,10455
2.02E+11,20161102,540,700455,10455
2.02E+11,20161106,423,800456,10455
2.02E+11,20161113,470,100457,10455
2.02E+11,20160713,406.5,700458,11708
2.02E+11,20160720,445,400459,11708
2.02E+11,20170222,506,700460,10886
2.02E+11,20160804,558,900461,11034
2.02E+11,20160928,840,800462,11034
2.02E+11,20160829,355,800463,11034
2.02E+11,20160812,242,700464,11148
2.02E+11,20160627,219,500465,12118
2.02E+11,20160824,240,300466,11986
2.02E+11,20160824,245,800467,11986
2.02E+11,20160808,820,900468,11498
2.02E+11,20160809,368,400469,11498
2.02E+11,20160626,263,100470,12118
2.02E+11,20160626,273,100471,12118
2.02E+11,20160629,246,500472,12118
2.02E+11,20160811,168,100473,11148
2.02E+11,20160819,249,100474,11986
2.02E+11,20160825,209,300475,11148
2.02E+11,20160825,169,300476,11148
2.02E+11,20160826,250.5,600477,11148
2.02E+11,20160826,237.8,700478,11148
2.02E+11,20160830,350,300479,11148
2.02E+11,20160830,226,600480,11148
2.02E+11,20160830,218,600481,11148
2.02E+11,20160831,190,100482,11148
2.02E+11,20160831,243.8,100483,11148
2.02E+11,20160904,341,900484,11148
2.02E+11,20160908,203.5,700485,11148
2.02E+11,20160920,210,400486,10886
2.02E+11,20160926,330,200487,10886
2.02E+11,20160926,216,600488,10886
2.02E+11,20160930,425,800489,10886
2.02E+11,20160930,310,100490,10886
2.02E+11,20161010,330,900491,10886
2.02E+11,20161016,363,700492,10886
2.02E+11,20161025,224,100493,10886
2.02E+11,20161030,228,400494,10886
2.02E+11,20161118,252,300495,10886
2.02E+11,20161214,225,400496,10455
2.02E+11,20161215,222.5,300497,10455
2.02E+11,20160821,960,200498,11708
2.02E+11,20160821,140,600499,11708
2.02E+11,20160615,352,500500,11747
2.02E+11,20160830,450,700501,11986
2.02E+11,20161016,287,100502,10455
2.02E+11,20160828,194.5,200503,11034
2.02E+11,20160628,614,600504,11747
2.02E+11,20160628,544,700505,11747
2.02E+11,20160710,518,200506,12118
2.02E+11,20160718,488,600507,11066
2.02E+11,20160719,491,200508,11066
2.02E+11,20160721,643,400509,11066
2.02E+11,20160721,522.6,700510,11066
2.02E+11,20160723,566,900511,11066
2.02E+11,20160726,590,200512,11066
2.02E+11,20160726,530,100513,11066
2.02E+11,20160731,520,900514,11380
2.02E+11,20160802,615,800515,11380
2.02E+11,20160803,396,400516,11380
2.02E+11,20160805,518,100517,11708
2.02E+11,20160814,489,700518,11034
2.02E+11,20160815,440,200519,11986
2.02E+11,20160818,618,100520,11986
2.02E+11,20160818,635,700521,11986
2.02E+11,20160818,555,900522,11986
2.02E+11,20160821,520,700523,11986
2.02E+11,20160823,500,600524,11986
2.02E+11,20160823,427,900525,11986
2.02E+11,20160825,710,500526,11986
2.02E+11,20160825,638,600527,11986
2.02E+11,20160830,519,800528,11986
2.02E+11,20160830,488,500529,11986
2.02E+11,20160831,514,900530,11986
2.02E+11,20160910,617,200531,10886
2.02E+11,20160911,582,600532,10886
2.02E+11,20160913,350,300533,10455
2.02E+11,20160914,663,400534,10455
2.02E+11,20160915,760,300535,10455
2.02E+11,20160915,670,100536,10455
2.02E+11,20160917,545,700537,10455
2.02E+11,20160918,740,700538,10455
2.02E+11,20160919,553,200539,10455
2.02E+11,20160921,623,900540,10455
2.02E+11,20160921,563,900541,10455
