"r$house.id","r$square","house_type.id","buildingType","constructionTime","renovationCondition","floor","ladderRatio","as.character(r$cjxiaoqu)"
930357,41,1111,4,1986,4,6,0.167,"太阳国际公馆"
630358,73.56,3111,4,1992,3,18,0.111,"万方景轩"
430359,90.6,3011,4,1956,4,4,0.333,"凤凰城三期"
830360,85.6,3111,1,1990,4,18,0.25,"凤凰城三期"
630361,44.4,1111,1,1995,4,18,0.25,"凤凰城三期"
230362,51.9,1111,1,1995,4,18,0.25,"凤凰城三期"
930363,41.45,2111,4,1990,3,5,0.143,"冠城大通澜石"
930364,64.88,2111,4,1983,4,6,0.333,"冠城大通澜石"
630365,54.14,2211,4,1965,4,4,0.25,"冠城大通澜石"
230366,51.15,2111,4,1985,4,6,0.333,"冠城大通澜石"
530367,57.15,2111,4,1985,1,6,0.333,"冠城大通澜石"
430368,68.58,2111,3,1988,4,10,0.2,"火星园"
230369,38.7,1111,4,1988,1,5,0.333,"火星园"
630370,68.58,2111,3,1988,3,10,0.2,"火星园"
130371,56.26,2111,3,1988,1,10,0.2,"火星园"
930372,38.7,1111,4,1988,3,5,0.333,"火星园"
530373,67.3,3111,4,1979,4,12,0.333,"裘马都"
430374,37.9,1111,4,1977,4,5,0.333,"裘马都"
230375,80.22,2111,1,1998,4,22,0.2,"金星园"
330376,63.06,1111,3,2003,4,13,0.667,"乐成国际"
430377,71.03,2111,4,1993,4,6,0.5,"UHN国际村"
130378,102,2111,4,1993,4,3,0.5,"UHN国际村"
830379,62.5,2111,4,1999,3,6,0.5,"UHN国际村"
630380,70,2111,4,1999,1,6,0.5,"UHN国际村"
130381,102.08,2211,4,1993,1,3,0.5,"UHN国际村"
530382,63,2111,4,1999,1,6,0.5,"UHN国际村"
630383,71.03,2111,4,1993,3,6,0.5,"UHN国际村"
330384,93,2111,4,1999,3,6,0.5,"UHN国际村"
430385,49,1011,1,2005,1,16,0.154,"首开知语城"
830386,101.34,2211,4,2001,4,4,0.5,"太阳公元"
430387,167,4212,4,2000,3,4,0.25,"太阳公元"
430388,98.76,2111,4,2001,3,5,0.5,"太阳公元"
730389,150.68,3212,4,2004,3,5,0.5,"太阳公元"
930390,159.99,3212,4,2004,4,5,0.5,"太阳公元"
530391,107,2211,4,2000,4,5,0.5,"太阳公元"
930392,134.22,3212,4,2000,4,4,0.5,"太阳公元"
630393,130,3112,4,2004,3,5,0.5,"太阳公元"
230394,114,3111,4,2004,3,5,0.5,"太阳公元"
530395,144.68,3212,4,2001,3,5,0.5,"太阳公元"
130396,147.23,3112,4,2003,1,5,0.5,"太阳公元"
530397,177,4112,4,2003,4,5,0.5,"太阳公元"
330398,148.64,3212,4,2003,4,4,0.5,"太阳公元"
530399,145,3212,4,2000,3,5,0.5,"太阳公元"
430400,144,3112,4,2000,4,4,0.5,"太阳公元"
630401,60,2111,4,1997,3,6,0.5,"方舟苑一期"
230402,106.95,2111,1,2004,4,19,0.15,"瞰都国际"
230403,57.53,2111,4,1980,3,6,0.5,"福州馆前街"
130404,209,3214,4,2012,4,18,1,"虎坊路甲院"
530405,74,2111,4,2003,4,16,0.333,"虎坊路小区"
330406,120.71,2212,1,2002,4,21,0.333,"陶然湖景"
630407,99.71,2212,1,1999,3,22,0.1,"天桥南里"
530408,120.87,2212,4,2005,4,11,0.5,"万明路院"
230409,152.45,3212,1,1999,4,21,0.25,"黑窑厂东街"
430410,67.26,1111,1,1999,3,21,0.25,"黑窑厂东街"
730411,51,2111,4,1986,3,5,0.333,"龙爪槐胡同院"
430412,56.91,2111,4,1986,4,5,0.333,"龙爪槐胡同院"
830413,138,3212,4,2005,3,13,0.5,"南华东街"
130414,191.6,4212,4,2004,3,13,0.5,"南华东街"
530415,72.6,2111,1,1998,3,18,0.2,"太街楼"
930416,66.2,2111,1,2000,3,18,0.2,"太街楼"
730417,89,2111,4,2012,2,14,0.5,"方南家园二期"
930418,88.67,2111,4,2006,1,6,0.5,"芳城东里"
830419,48,1111,4,2000,3,2,0.333,"富力信然庭"
